Bed Name,Site Code,Survey Date,Survey Day,Survey Month,Survey Year,Acres,Temp,Temp1 Shore Edge,Temp1 Water Edge,Temp2 Shore Edge,Temp2 Water Edge,Ave Temp Shore Edge,Ave Temp Water Edge,NWSC Max Ext,avg_temp
Aiston Preserve,AISP,2018-07-31,31.0,7.0,2018.0,0.1179025891108278,16.0,,,,,,,1.0,16.0
Aiston Preserve,AISP,2019-08-01,1.0,8.0,2019.0,0.1671668631808403,16.0,,,,,,,1.0,16.0
Aiston Preserve,AISP,2020-07-20,20.0,7.0,2020.0,0.327541565501017,,15.0,15.0,15.6,15.0,15.3,15.0,1.0,15.15
Aiston Preserve,AISP,2021-07-27,27.0,7.0,2021.0,0.2075287306305486,,14.44,14.44,,14.44,14.44,14.44,1.0,14.440000000000001
Aiston Preserve,AISP,2022-07-31,31.0,7.0,2022.0,0.2961717906768201,,20.0,20.0,20.0,20.0,20.0,20.0,1.0,20.0
Aiston Preserve,AISP,2023-07-20,20.0,7.0,2023.0,0.2759983014053218,,12.2,12.2,12.2,12.2,12.2,12.2,1.0,12.200000000000001
Aiston Preserve,AISP,2024-07-21,21.0,7.0,2024.0,0.3439853630796275,,14.4,14.4,15.0,15.0,14.7,14.7,1.0,14.700000000000001
Aiston Preserve,AISP,2024-07-21,21.0,7.0,2024.0,0.4213896196150675,,14.4,14.4,15.0,15.0,14.7,14.7,1.0,14.700000000000001
Biz Point,BZPT,2017-07-25,25.0,7.0,2017.0,0.4623559216720856,11.0,,,,,,,1.0,11.0
Biz Point,BZPT,2018-08-13,13.0,8.0,2018.0,0.6510771934464323,12.0,,,,,,,1.0,12.0
Biz Point,BZPT,2019-08-26,26.0,8.0,2019.0,0.7107156898949345,12.0,,,,,,,1.0,12.0
Biz Point,BZPT,2020-07-23,23.0,7.0,2020.0,0.7271062757622216,,11.5,,,,11.5,,1.0,11.5
Biz Point,BZPT,2021-08-20,20.0,8.0,2021.0,0.9248581166954736,,,11.67,,,,11.67,1.0,11.67
Biz Point,BZPT,2022-09-08,8.0,9.0,2022.0,0.9856844520644131,,,11.67,,,,11.67,1.0,11.67
Biz Point,BZPT,2023-08-13,13.0,8.0,2023.0,0.9360303245369036,,,12.2,,,,12.2,1.0,12.2
Biz Point,BZPT-S,2023-08-13,13.0,8.0,2023.0,0.2991551645939199,,,,,,,,1.0,10.5
Biz Point,BZPT,2024-09-16,16.0,9.0,2024.0,1.039651898232674,,,11.1,,11.1,,11.1,1.0,11.1
Cherry Point-Gulf Rd,CHPT,2017-09-04,4.0,9.0,2017.0,29.37964324472371,,,,,,,,1.0,14.0
Cherry Point-Gulf Rd,CHPT,2018-08-08,8.0,8.0,2018.0,25.13829955287955,13.0,,,,,,,1.0,13.0
Cherry Point-Gulf Rd,CHPT,2019-08-13,13.0,8.0,2019.0,17.08582308858345,14.0,,,,,,,1.0,14.0
Cherry Point-Gulf Rd,CHPT,2020-09-01,1.0,9.0,2020.0,33.13075904827389,,13.3,13.3,13.3,13.3,13.3,13.3,1.0,13.299999999999999
Cherry Point-Gulf Rd,CHPT,2021-08-10,10.0,8.0,2021.0,14.21437024859206,,13.89,12.78,,12.78,13.89,12.78,1.0,13.224
Cherry Point-Gulf Rd,CHPT,2021-09-04,4.0,9.0,2021.0,,,,,,,,,,
Cherry Point-Gulf Rd,CHPT,2022-08-11,11.0,8.0,2022.0,34.69968542772929,,14.44,12.78,14.44,12.78,14.44,12.78,1.0,13.61
Cherry Point-Gulf Rd,CHPT,2023-08-03,3.0,8.0,2023.0,19.68324679842806,,12.2,12.2,11.7,12.2,12.0,12.2,1.0,12.083333333333334
Cherry Point-Gulf Rd,CHPT,2024-09-01,1.0,9.0,2024.0,24.55885150377195,,12.8,13.9,12.8,13.9,12.8,13.9,1.0,13.350000000000001
Clallam Bay,CLLB,2017-07-23,23.0,7.0,2017.0,25.12805293191998,12.0,,,,,,,1.0,12.0
Clallam Bay,CLLB,2018-07-16,16.0,7.0,2018.0,18.76749881032586,14.0,,,,,,,1.0,14.0
Clallam Bay,CLLB,2019-07-19,19.0,7.0,2019.0,22.33161811806455,14.4,,,,,,,1.0,14.4
Clallam Bay,CLLB,2020-07-23,23.0,7.0,2020.0,13.13631626309462,,,12.0,,,,12.0,1.0,12.0
Clallam Bay,CLLB,2021-08-23,23.0,8.0,2021.0,15.31502332199931,,16.67,12.22,,,16.67,12.22,1.0,14.445
Clallam Bay,CLLB,2022-08-29,29.0,8.0,2022.0,12.72818229315502,,11.67,12.22,,,11.67,12.22,1.0,11.945
Coffin Rocks,COFF,2016-09-26,26.0,9.0,2016.0,1.282634687737067,11.0,,,,,,,1.0,11.0
Coffin Rocks,COFF,2017-08-06,6.0,8.0,2017.0,1.281512766394583,12.0,,,,,,,1.0,12.0
Coffin Rocks,COFF,2018-08-10,10.0,8.0,2018.0,1.326819342600746,13.0,,,,,,,1.0,13.0
Coffin Rocks,COFF,2019-09-25,25.0,9.0,2019.0,1.335529503479387,12.0,,,,,,,1.0,12.0
Coffin Rocks,COFF,2020-08-17,17.0,8.0,2020.0,1.40308226751293,,12.2,13.0,,,12.2,13.0,1.0,12.6
Coffin Rocks,COFF,2021-08-05,5.0,8.0,2021.0,1.695370600907548,,12.0,13.0,,,12.0,13.0,1.0,12.5
Coffin Rocks,COFF,2022-08-25,25.0,8.0,2022.0,1.68424180031315,,11.67,11.67,,,11.67,11.67,1.0,11.67
Coffin Rocks,COFF,2023-08-15,15.0,8.0,2023.0,1.62153391465468,,11.5,11.5,11.5,11.5,11.5,11.5,1.0,11.5
Coffin Rocks,COFF,2024-09-16,16.0,9.0,2024.0,1.766295423807352,,11.7,11.7,11.7,11.7,11.7,11.7,1.0,11.700000000000001
Ebey's Landing,EBL,2015-08-15,15.0,8.0,2015.0,18.35404415624473,13.0,,,,,,,1.0,13.0
Ebey's Landing,EBL,2016-07-22,22.0,7.0,2016.0,20.39669887322171,12.0,,,,,,,1.0,12.0
Ebey's Landing,EBL,2017-09-16,16.0,9.0,2017.0,21.53481549546215,11.0,,,,,,,1.0,11.0
Ebey's Landing,EBL,2018-08-07,7.0,8.0,2018.0,21.29341252563125,12.0,,,,,,,1.0,12.0
Ebey's Landing,EBL,2019-08-13,13.0,8.0,2019.0,41.1311539585761,13.0,,12.1,,12.7,,,1.0,12.6
Ebey's Landing,EBL,2020-08-30,30.0,8.0,2020.0,39.98698199023761,,11.9,12.0,,,11.9,12.0,1.0,11.95
Ebey's Landing,EBL,2020-08-30,30.0,8.0,2020.0,41.6146203186869,,11.9,12.0,,,11.9,12.0,1.0,11.95
Ebey's Landing,EBL,2021-08-11,11.0,8.0,2021.0,37.68134113124707,,12.0,12.0,,,12.0,12.0,1.0,12.0
Ebey's Landing,EBL,2022-08-23,23.0,8.0,2022.0,38.6298168238,,11.9,12.3,12.2,12.2,12.05,12.25,1.0,12.15
Ebey's Landing,EBL,2023-08-14,14.0,8.0,2023.0,31.12262745068293,,11.8,12.2,11.7,12.2,11.8,12.2,1.0,11.983333333333334
Ebey's Landing,EBL,2024-08-20,20.0,8.0,2024.0,33.20790578632533,,11.0,11.2,11.8,11.4,11.4,11.3,1.0,11.35
Freshwater Bay 1,FWB,2016-08-19,19.0,8.0,2016.0,169.6961176419129,14.0,,,,,,,1.0,14.0
Freshwater Bay 1,FWB,2017-08-20,20.0,8.0,2017.0,168.8712670368248,,,,,,,,1.0,
Freshwater Bay 1,FWB,2019-07-20,20.0,7.0,2019.0,117.8605333294098,14.0,,,,,,,1.0,14.0
Freshwater Bay 1,FWB,2020-08-19,19.0,8.0,2020.0,112.6657642355278,,,12.2,,,,12.2,1.0,12.2
Freshwater Bay 1,FWB,2021-07-27,27.0,7.0,2021.0,128.5099240583174,,,,,,,,1.0,
Freshwater Bay 1,FWB,2022-07-31,31.0,7.0,2022.0,41.87291281515778,,13.89,14.44,,12.22,13.89,13.33,1.0,13.553999999999998
Freshwater Bay 1,FWB,2023-08-14,14.0,8.0,2023.0,121.9744270375003,,11.7,11.7,12.8,11.1,12.3,11.4,1.0,11.833333333333336
Freshwater Bay 1,FWB,2024-08-22,22.0,8.0,2024.0,145.5984661335354,,10.0,10.0,9.8,9.0,9.9,9.5,1.0,9.7
Freshwater Bay 2,FWBO,2016-07-02,2.0,7.0,2016.0,0.7064909636655914,13.0,,,,,,,1.0,13.0
Freshwater Bay 2,FWBO,2017-09-17,17.0,9.0,2017.0,0.9294016245326814,10.0,,,,,,,1.0,10.0
Freshwater Bay 2,FWBO,2018-08-10,10.0,8.0,2018.0,1.436844705113017,13.0,,,,,,,1.0,13.0
Freshwater Bay 2,FWBO,2019-07-18,18.0,7.0,2019.0,0.9695576024992156,15.0,,,,,,,1.0,15.0
Freshwater Bay 2,FWBO,2020-08-19,19.0,8.0,2020.0,0.6359436258892753,,11.1,,,,11.1,,1.0,11.1
Freshwater Bay 2,FWBO,2021-09-07,7.0,9.0,2021.0,0.9323118794825621,,10.0,11.11,,,10.0,11.11,1.0,10.555
Freshwater Bay 2,FWBO,2022-07-31,31.0,7.0,2022.0,0.7826335311440108,,16.67,15.0,,,16.67,15.0,1.0,15.835
Freshwater Bay 2,FWBO,2023-08-31,31.0,8.0,2023.0,0.5865375216454825,,13.3,11.1,12.2,11.1,12.8,11.1,1.0,11.933333333333332
Freshwater Bay 2,FWBO,2024-09-01,1.0,9.0,2024.0,1.357187289827875,,,10.0,9.8,10.5,9.8,10.25,1.0,10.07
Hat Island,HAT-S,2017-08-24,24.0,8.0,2017.0,27.03951246306165,15.0,,,,,,,1.0,15.0
Hat Island,HAT-S,2018-08-13,13.0,8.0,2018.0,32.96851548224522,,,,,,,,1.0,
Hat Island,HAT-S,2019-08-12,12.0,8.0,2019.0,40.19816177668257,15.0,,,,,,,1.0,15.0
Hat Island,HAT-S,2020-08-17,17.0,8.0,2020.0,15.41762739558396,,16.0,16.0,,,16.0,16.0,1.0,16.0
Hat Island,HAT-S,2021-08-10,10.0,8.0,2021.0,27.21370851983236,18.0,,,,,,,1.0,18.0
Hat Island,HAT-S,2022-08-11,11.0,8.0,2022.0,14.19504801463806,,18.0,18.0,,,18.0,18.0,1.0,18.0
Hat Island,HAT-S,2023-08-14,14.0,8.0,2023.0,38.93304023872739,,15.2,15.2,,,15.2,15.2,1.0,15.2
Hat Island,HAT-S,2024-09-16,16.0,9.0,2024.0,60.45122855173041,,14.0,14.0,14.0,14.0,14.0,14.0,1.0,14.0
Hoypus Point,HOYP,2016-08-19,19.0,8.0,2016.0,3.712156321615214,14.0,,,,,,,1.0,14.0
Hoypus Point,HOYP,2017-07-25,25.0,7.0,2017.0,3.605777746551023,10.0,,,,,,,1.0,10.0
Hoypus Point,HOYP,2021-09-06,6.0,9.0,2021.0,2.128078204958165,,16.0,14.0,,,16.0,14.0,1.0,15.0
Hoypus Point,HOYP,2022-07-18,18.0,7.0,2022.0,3.944428003098682,,13.0,12.8,13.1,13.2,13.05,13.0,1.0,13.024999999999999
Hoypus Point,HOYP,2023-08-15,15.0,8.0,2023.0,3.468347116364568,,14.5,13.9,14.8,13.4,14.7,13.7,1.0,14.166666666666666
Hoypus Point,HOYP,2024-08-16,16.0,8.0,2024.0,3.40628028058965,,12.8,13.0,12.8,12.7,12.8,12.85,1.0,12.824999999999998
Lowell,LWLP,2016-09-16,16.0,9.0,2016.0,18.08136481420673,14.0,,,,,,,1.0,14.0
Lowell,LWLP,2017-08-23,23.0,8.0,2017.0,13.88255765633269,,,,,,,,1.0,14.0
Lowell,LWLP,2020-08-22,22.0,8.0,2020.0,5.854933089178628,,14.3,13.9,,,14.3,13.9,1.0,14.1
Lowell,LWLP,2021-09-19,19.0,9.0,2021.0,22.81184584460217,,14.4,12.7,,,14.4,12.7,1.0,13.55
Lowell,LWLP,2022-08-12,12.0,8.0,2022.0,10.88491482020194,,17.8,17.8,,,17.8,17.8,1.0,17.8
Lowell,LWLP,2023-08-15,15.0,8.0,2023.0,19.73894685987086,,21.3,18.1,18.4,21.0,19.9,19.6,1.0,19.71666666666667
Lowell,LWLP,2024-09-15,15.0,9.0,2024.0,24.88908266453962,,13.3,13.5,13.3,13.9,13.3,13.7,1.0,13.5
Lummi SW,LMMI-SW,2017-08-05,5.0,8.0,2017.0,2.562993343337811,,,,,,,,1.0,
Lummi SW,LMMI-SW,2018-08-11,11.0,8.0,2018.0,3.050642071585538,13.0,,,,,,,1.0,13.0
Lummi SW,LMMI-SW,2019-08-02,2.0,8.0,2019.0,2.198209339841837,16.0,,,,,,,1.0,16.0
Lummi SW,LMMI-SW,2020-08-16,16.0,8.0,2020.0,1.94175264212293,,16.7,16.7,16.7,16.7,16.7,16.7,1.0,16.7
Lummi SW,LMMI-SW,2021-08-09,9.0,8.0,2021.0,2.964306474271297,,15.0,14.44,15.0,14.44,15.0,14.44,1.0,14.719999999999999
Lummi SW,LMMI-SW,2022-08-13,13.0,8.0,2022.0,2.660643449027656,,12.78,12.22,12.78,12.22,12.78,12.22,1.0,12.5
Lummi SW,LMMI-SW,2023-07-31,31.0,7.0,2023.0,2.536696174500444,,12.2,11.7,11.7,11.7,12.0,11.7,1.0,11.833333333333334
Lummi SW,LMMI-SW,2024-08-17,17.0,8.0,2024.0,3.480672814814636,,12.8,12.8,12.8,12.8,12.8,12.8,1.0,12.799999999999999
North Beach East,NB-E,2016-09-22,22.0,9.0,2016.0,22.09111567324684,13.0,,,,,,,1.0,13.0
North Beach East,NB-E,2017-07-22,22.0,7.0,2017.0,18.51531655105461,11.0,,,,,,,1.0,11.0
North Beach East,NB-E,2018-08-25,25.0,8.0,2018.0,9.329158651029495,,,,,,,,1.0,11.0
North Beach East,NB-E,2019-09-02,2.0,9.0,2019.0,11.85094286269241,13.0,,,,,,,1.0,13.0
North Beach East,NB-E,2020-08-26,26.0,8.0,2020.0,14.85305392168495,,14.0,14.0,,,14.0,14.0,1.0,14.0
North Beach East,NB-E,2021-08-20,20.0,8.0,2021.0,25.57907831201522,,12.1,,,,12.1,,1.0,12.1
North Beach East,NB-E,2022-08-27,27.0,8.0,2022.0,19.14541036077254,,11.8,11.5,11.5,11.6,11.65,11.55,1.0,11.6
North Beach East,NB-E,2023-08-12,12.0,8.0,2023.0,18.18814590240919,,11.8,11.8,12.3,11.8,12.0,11.8,1.0,11.916666666666666
North Beach East,NB-E,2024-08-17,17.0,8.0,2024.0,19.29639125660871,,,,11.8,10.9,11.8,10.9,1.0,11.35
Polnell Point,POLN,2016-08-30,30.0,8.0,2016.0,36.72804001266616,17.0,,,,,,,1.0,17.0
Polnell Point,POLN,2017-09-18,18.0,9.0,2017.0,27.43211920760829,,,,,,,,1.0,16.0
Polnell Point,POLN,2018-09-10,10.0,9.0,2018.0,75.7096873910009,13.0,,,,,,,1.0,13.0
Polnell Point,POLN,2019-09-26,26.0,9.0,2019.0,47.31235013600108,15.0,,,,,,,1.0,15.0
Polnell Point,POLN,2020-08-31,31.0,8.0,2020.0,41.30371607838064,,13.9,13.2,,,13.9,13.2,1.0,13.55
Polnell Point,POLN,2021-08-24,24.0,8.0,2021.0,36.42661564578258,,13.6,13.7,,13.9,13.6,13.8,1.0,13.719999999999999
Polnell Point,POLN,2022-09-11,11.0,9.0,2022.0,17.56186463394933,,13.2,13.1,13.2,12.9,13.2,13.0,1.0,13.1
Polnell Point,POLN,2023-08-15,15.0,8.0,2023.0,38.71291760867629,,14.9,15.9,16.0,14.8,15.5,15.4,1.0,15.416666666666666
Polnell Point,POLN,2024-08-21,21.0,8.0,2024.0,35.73099687493362,,14.5,14.7,13.8,14.1,14.15,14.399999999999999,1.0,14.275
Possession Point,POSS,2017-08-24,24.0,8.0,2017.0,21.48492019100219,13.0,,,,,,,1.0,13.0
Possession Point,POSS,2018-08-14,14.0,8.0,2018.0,38.00233083091084,16.0,,,,,,,1.0,16.0
Possession Point,POSS,2019-08-16,16.0,8.0,2019.0,60.67091155370715,15.0,,,,,,,1.0,15.0
Possession Point,POSS,2020-08-31,31.0,8.0,2020.0,51.08569876322605,,15.0,14.5,,,15.0,14.5,1.0,14.75
Possession Point,POSS,2021-08-11,11.0,8.0,2021.0,65.7338868649602,,16.0,17.0,,18.0,16.0,17.5,1.0,16.9
Possession Point,POSS,2022-09-10,10.0,9.0,2022.0,88.63036112573265,,14.5,14.0,14.0,14.5,14.25,14.25,1.0,14.25
Possession Point,POSS,2023-08-14,14.0,8.0,2023.0,85.88719954864276,,16.8,16.5,17.2,18.6,17.0,17.6,1.0,17.28333333333333
Possession Point,POSS,2024-08-16,16.0,8.0,2024.0,75.56470729914584,,14.8,14.6,15.3,14.8,15.05,14.7,1.0,14.875
Shannon Point East,SHPT-E,2017-09-15,15.0,9.0,2017.0,8.398103503089558,14.0,,,,,,,1.0,14.0
Shannon Point East,SHPT-E,2018-09-10,10.0,9.0,2018.0,10.12835949235011,14.0,,,,,,,1.0,14.0
Shannon Point East,SHPT-E,2019-08-18,18.0,8.0,2019.0,12.09649628289971,17.0,,,,,,,1.0,17.0
Shannon Point East,SHPT-E,2020-09-18,18.0,9.0,2020.0,8.583312937775062,,11.4,11.3,,,11.4,11.3,1.0,11.350000000000001
Shannon Point East,SHPT-E,2021-08-20,20.0,8.0,2021.0,8.483058761344934,,13.33,13.33,,,13.33,13.33,1.0,13.33
Shannon Point East,SHPT-E,2022-07-01,1.0,7.0,2022.0,5.374904479777809,,10.56,11.11,,,10.56,11.11,1.0,10.835
Shannon Point East,SHPT-E,2023-08-04,4.0,8.0,2023.0,1.216886744308951,,12.8,12.8,12.8,12.8,12.8,12.8,1.0,12.799999999999999
Shannon Point East,SHPT-E,2024-08-16,16.0,8.0,2024.0,0.3904015105616419,,12.2,12.2,12.2,12.2,12.2,12.2,1.0,12.200000000000001
Shannon Point West,SHPT-W,2017-09-15,15.0,9.0,2017.0,5.081828816684256,12.0,,,,,,,1.0,12.0
Shannon Point West,SHPT-W,2018-09-10,10.0,9.0,2018.0,9.81817641829785,16.0,,,,,,,1.0,16.0
Shannon Point West,SHPT-W,2019-07-28,28.0,7.0,2019.0,4.414528847533525,14.0,,,,,,,1.0,14.0
Shannon Point West,SHPT-W,2020-09-18,18.0,9.0,2020.0,7.790410330384972,,11.3,11.5,,,11.3,11.5,1.0,11.4
Shannon Point West,SHPT-W,2021-09-19,19.0,9.0,2021.0,4.860295687805859,,11.11,10.0,,10.56,11.11,10.280000000000001,1.0,10.612
Shannon Point West,SHPT-W,2022-08-12,12.0,8.0,2022.0,3.267263721503619,,12.78,11.11,,,12.78,11.11,1.0,11.945
Shannon Point West,SHPT-W,2023-09-01,1.0,9.0,2023.0,4.720686803974292,,13.3,13.9,12.8,13.3,12.9,13.4,1.0,13.266666666666667
Shannon Point West,SHPT-W,2024-08-16,16.0,8.0,2024.0,6.095016535272763,,12.2,12.2,12.2,12.2,12.2,12.2,1.0,12.200000000000001
